

,Research,1995,12/13,CS First Boston,"Plus Ça Change, Plus C’est Pareil: The More Things Change, the More They Stay the Same",https://12mv2.files.wordpress.com/2024/04/95-12-13-plus-ca-change-plus-cest-pareil-the-more-things-change-the-more-they-stay-the-same.pdf
,Research,1997,1/14,CS First Boston,Competitive Advantage Period “CAP” - The Neglected Value Driver,https://12mv2.files.wordpress.com/2024/04/97-01-14-competitive-advantage-period-cap-the-neglected-value-drive-1.pdf
,Research,1997,3/12,CS First Boston,What Have You Learned in the Past 2 Seconds?,https://12mv2.files.wordpress.com/2024/04/97-03-12-what-have-you-learned-in-the-past-2-seconds.pdf
,Research,1997,10/21,CS First Boston,Thoughts on Valuation,https://12mv2.files.wordpress.com/2024/04/97-10-21-thoughts-on-valuation.pdf
,Research,1997,10/21,CS First Boston,Shift Happens: On a New Paradigm of the Markets as a Complex Adaptive System,https://12mv2.files.wordpress.com/2024/04/97-10-21-shift-happens__on-a-new-paradigm-of-the-markets-as-a-complex-adaptive-system.pdf
,Research,1998,4/27,CS First Boston,Let’s Make a Deal: A Practical Framework for Assessing M&A Activity,https://12mv2.files.wordpress.com/2024/04/98-04-27-lets-make-a-deal__a-practical-framework-for-assessing-ma-activity.pdf
,Research,1998,8/7,CS First Boston,To Buy or Not to Buy: Issues and Considerations Surrounding Share Repurchase,https://12mv2.com/wp-content/uploads/2024/06/98-08-07-to-buy-or-not-to-buy__issues-and-considerations-surrounding-share-repurchase.pdf
,Research,1998,9/29,CS First Boston,"Why Strategy Matters: Exploring the link between strategy, competitive advantage and the stock market",https://12mv2.com/wp-content/uploads/2024/06/98-09-29-why-strategy-matters__exploring-the-link-between-strategy-competitive-advantage-and-the-stock-market.pdf
,Research,1998,11/2,CS First Boston,A Piece of the Action: Employee Stock Options in the New Economy,https://12mv2.files.wordpress.com/2024/04/98-11-02-a-piece-of-the-action__employee-stock-options-in-the-new-economy.pdf
,Research,1998,11/16,CS First Boston,On The Shoulders of Giants: Mental Models for the New Millenium,https://12mv2.files.wordpress.com/2024/04/98-11-16-on-the-shoulders-of-giants__mental-models-for-the-new-millenium.pdf
,Research,1998,12/10,CS First Boston,The Invisible Lead Steer: New Answers to Old Questions About the Stock Market,https://12mv2.files.wordpress.com/2024/04/98-12-10-the-invisible-lead-steer__new-answers-to-old-questions-about-the-stock-market.pdf
,Research,1999,1/26,CS First Boston,Rational Exuberance? Is There Method behind the Madness in Internet Stock Valuations?,https://12mv2.files.wordpress.com/2024/04/99-01-26-rational-exuberance-is-there-method-behind-the-madness-in-internet-stock-valuations.pdf
,Research,1999,2/4,CS First Boston,The (Fat) Tail that Wags the Dog: Demystifying the Stock Market’s Performance,https://12mv2.files.wordpress.com/2024/04/99-02-04-the-fat-tail-that-wags-the-dog-demystifying-the-stock-markets-performance.pdf
,Research,1999,2/26,CS First Boston,Cash Flow.com: Cash Economics in the New Economy,https://12mv2.files.wordpress.com/2024/04/99-02-26-cash-flow.com__cash-economics-in-the-new-economy.pdf
,Research,1999,3/11,CS First Boston,Value Explosion: Exploring Barriers to Entry for Internet Companies,https://12mv2.com/wp-content/uploads/2024/06/99-03-11-value-explosion__exploring-barriers-to-entry-for-internet-companies.pdf
,Research,1999,6/23,CS First Boston,Get Real: Using Real Options in Security Analysis,https://12mv2.files.wordpress.com/2024/04/99-06-23-get-real__using-real-options-in-security-analysis.pdf
